ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Dick Skare	Garey Bies	Scattering 		
DATE	TYPE	SUBTYPE	KEYWORD	NAME	DISTRICT	DISTRICT	DISTRICT	DISTRICT	NUMBER	NAME	TYPE	NUMBER	NAME	NUMBER	NUMBER	NAME	Democratic	Republican			
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	5	Brown	Town	14	Green Bay	5014	2	Wards 1 & 2	421	659	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	5	Brown	Town	22	Humboldt	5022	2	Wards 1 & 2	271	396	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	5	Brown	Town	36	Scott	5036	2	Wards 1 - 4	888	1105	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	5	Brown	City	231	Green Bay	5231	99	Ward 50	4	9	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Town	2	Baileys Harbor	15002	2	Wards 1 & 2	473	303	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Town	4	Brussels	15004	2	Wards 1 & 2	218	342	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Town	6	Claybanks	15006	2		109	154	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Town	8	Egg Harbor	15008	5	Ward 1	311	290	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Town	8	Egg Harbor	15008	6	Wards 2 & 3	171	141	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Town	10	Forestville	15010	2	Wards 1 & 2	280	316	3		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Town	12	Gardner	15012	2		313	370	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Town	14	Gibraltar	15014	2	Wards 1 & 2	552	259	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Town	16	Jacksonport	15016	2		250	254	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Town	18	Liberty Grove	15018	2	Wards 1 - 3	762	668	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Town	20	Nasewaupee	15020	2	Wards 1 - 3	541	654	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Town	22	Sevastopol	15022	5	Wards 1 - 3	786	946	2		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Town	24	Sturgeon Bay	15024	4	Wards 1 & 2	254	273	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Town	26	Union	15026	2		239	332	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Town	28	Washington	15028	2		230	335	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Village	118	Egg Harbor	15118	2		106	79	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Village	121	Ephraim	15121	2		127	122	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Village	127	Forestville	15127	2		121	124	1		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	Village	181	Sister Bay	15181	2		297	326	0		
11/04/2008	FALL	GENERAL	ASSM	State Assembly, District No. 1	8	1	1	3	15	Door	City	281	Sturgeon Bay	15281	11	Wards 1 & 2	383	206	1		
