ELECTION	ELECTION	ELECTION	OFFICE TYPE	OFFICE	US CONGRESS	STATE SENATE	STATE ASSEMBLY	COURT OF APPEALS	COUNTY	COUNTY	MUNICIPALITY	MUNICIPALITY	MUNICIPALITY	HINDI	ORDER	REPORTING UNIT	Robert L. Cowles	Scattering 	
DATE	TYPE	SUBTYPE	KEYWORD	NAME	DISTRICT	DISTRICT	DISTRICT	DISTRICT	NUMBER	NAME	TYPE	NUMBER	NAME	NUMBER	NUMBER	NAME	Republican		
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	5	Brown	Town	24	Lawrence	5024	2	Wards 1 - 3	1708	4	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	4	3	5	Brown	Village	102	Allouez	5102	5	Wards 1 & 2	1076	15	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	4	3	5	Brown	Village	102	Allouez	5102	6	Wards 3 & 4	1558	11	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	4	3	5	Brown	Village	102	Allouez	5102	7	Wards 5 & 6	1759	22	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	4	3	5	Brown	Village	102	Allouez	5102	9	Wards 7 - 9	1280	15	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	4	3	5	Brown	Village	104	Ashwaubenon	5104	10	Wards 1 & 2	812	7	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	4	3	5	Brown	Village	104	Ashwaubenon	5104	11	Wards 3 & 4	879	16	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	4	3	5	Brown	Village	104	Ashwaubenon	5104	12	Wards 5 & 6	1079	12	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	4	3	5	Brown	Village	104	Ashwaubenon	5104	13	Wards 7 & 8	1126	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	5	Brown	Village	104	Ashwaubenon	5104	14	Ward 9	425	4	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	4	3	5	Brown	Village	104	Ashwaubenon	5104	15	Ward 10	800	10	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	4	3	5	Brown	Village	104	Ashwaubenon	5104	16	Wards 11 & 12	1297	14	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	5	Brown	Village	126	Hobart	5126	1	Wards 1 - 7	2526	13	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	4	3	5	Brown	City	216	De Pere	5216	10	Wards 1 - 3	2364	22	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	4	3	5	Brown	City	216	De Pere	5216	11	Wards 4 - 7	2080	18	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	4	3	5	Brown	City	216	De Pere	5216	12	Wards 8 - 10	1722	31	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	4	3	5	Brown	City	216	De Pere	5216	13	Wards 11 - 14	2492	24	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	4	3	5	Brown	City	231	Green Bay	5231	95	Ward 46	844	7	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	5	Brown	City	231	Green Bay	5231	96	Ward 47	470	6	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	5	Brown	City	231	Green Bay	5231	97	Ward 48	1044	8	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	5	Brown	City	231	Green Bay	5231	98	Ward 49	761	4	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	43	Oconto	Town	2	Abrams	43002	2	Wards 1 - 4	714	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	43	Oconto	Town	6	Bagley	43006	2		113	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	43	Oconto	Town	8	Brazeau	43008	2	Wards 1 - 3	485	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	43	Oconto	Town	10	Breed	43010	2		234	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	43	Oconto	Town	16	Gillett	43016	2	Wards 1 & 2	407	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	43	Oconto	Town	18	How	43018	4	Wards 1 - 3	234	2	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	43	Oconto	Town	26	Maple Valley	43026	2	Wards 1 & 2	269	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	43	Oconto	Town	28	Morgan	43028	2		386	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	43	Oconto	Town	32	Oconto Falls	43032	2	Wards 1 & 2	497	2	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	43	Oconto	Town	38	Spruce	43038	2	Wards 1 & 2	306	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	43	Oconto	Town	44	Underhill	43044	2		240	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	43	Oconto	Village	181	Suring	43181	2		165	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	43	Oconto	City	231	Gillett	43231	4	Wards 1 - 4	390	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	43	Oconto	City	266	Oconto Falls	43266	4	Wards 1 - 5	846	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	Town	2	Black Creek	45002	4	Wards 1 & 2	448	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	45	Outagamie	Town	4	Bovina	45004	2	Wards 1 & 2	388	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	Town	10	Cicero	45010	2	Wards 1 & 2	348	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	45	Outagamie	Town	14	Deer Creek	45014	2	Wards 1 & 2	198	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	45	Outagamie	Town	16	Ellington	45016	2	Wards 1 - 4	1052	3	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	Town	18	Freedom	45018	2	Wards 1 - 7	2036	7	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	Town	26	Kaukauna	45026	2	Wards 1 & 2	461	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	45	Outagamie	Town	28	Liberty	45028	2		337	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	45	Outagamie	Town	30	Maine	45030	2		280	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	45	Outagamie	Town	32	Maple Creek	45032	2		193	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	Town	34	Oneida	45034	2	Wards 1 - 5	1152	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	Town	36	Osborn	45036	2	Wards 1 & 2	437	2	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	Town	38	Seymour	45038	2	Wards 1 & 2	443	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	Town	40	Vandenbroek	45040	2	Wards 1 & 2	538	2	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	45	Outagamie	Village	106	Bear Creek	45106	2		85	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	Village	107	Black Creek	45107	2	Wards 1 & 2	440	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	Village	137	Howard	45137	1	Ward 17	0	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	Village	146	Little Chute	45146	10	Wards 1, 4, 9, 10 & 15	1285	6	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	Village	146	Little Chute	45146	11	Wards 2, 8, 12, 13, 16 - 19	321	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	Village	155	Nichols	45155	2		82	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	45	Outagamie	Village	181	Shiocton	45181	2		232	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	Village	191	Wrightstown	45191	1	Ward 3	76	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	City	201	Appleton	45201	83	Ward 55	42	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	City	241	Kaukauna	45241	7	Wards 1 - 3	1068	14	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	City	241	Kaukauna	45241	8	Wards 4 - 6	1231	5	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	City	241	Kaukauna	45241	9	Wards 7 & 8	941	7	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	City	241	Kaukauna	45241	12	Wards 9 - 11	1013	3	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	45	Outagamie	City	281	Seymour	45281	3	Wards 1 - 6	1144	4	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	4	Angelica	59004	2	Wards 1 - 3	590	4	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	10	Belle Plaine	59010	2	Wards 1 - 3	707	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	18	Grant	59018	2	Wards 1 & 2	339	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	20	Green Valley	59020	2	Wards 1 & 2	321	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	22	Hartland	59022	2		320	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	24	Herman	59024	2	Wards 1 & 2	291	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	28	Lessor	59028	2	Wards 1 & 2	381	1	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	5	3	59	Shawano	Town	30	Maple Grove	59030	2	Wards 1 & 2	319	2	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	32	Morris	59032	2	Wards 1 & 2	137	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	34	Navarino	59034	2		148	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	36	Pella	59036	2		300	0	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	40	Richmond	59040	2	Wards 1 - 3	782	2	
11/04/2008	FALL	GENERAL	SEN	State Senate, District No. 2	8	2	6	3	59	Shawano	Town	42	Seneca	59042	2		192	2	
