a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e,f
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,,
,,,,,
ASSEMBLY - DISTRICT 41,,,,,
,,,,,
County,,Total Votes Cast,REP,DEM,
,,,JOAN BALLWEG,MELISSA SORENSON,SCATTERING
ADAMS ,,5101.0,2384.0,2714.0,3.0
COLUMBIA ,,1066.0,505.0,560.0,1.0
FOND DU LAC ,,4109.0,2456.0,1650.0,3.0
GREEN LAKE ,,8357.0,5631.0,2723.0,3.0
JUNEAU ,,0.0,0.0,0.0,0.0
MARQUETTE ,,6085.0,3487.0,2596.0,2.0
SAUK ,,1193.0,533.0,655.0,5.0
WAUSHARA ,,47.0,39.0,8.0,0.0
Office Totals:,,25958.0,15035.0,10906.0,17.0
