a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e,f,g
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,,,
,,,,,,
CONGRESSIONAL - DISTRICT 7,,,,,,
,,,,,,
County,,Total Votes Cast,REP,DEM,IND,
,,,SEAN DUFFY,PAT KREITLOW,DALE C. LEHNER (WRITE-IN),SCATTERING
ASHLAND ,,8231.0,3172.0,5051.0,0.0,8.0
BARRON ,,21367.0,11621.0,9708.0,17.0,21.0
BAYFIELD ,,9603.0,4026.0,5573.0,0.0,4.0
BURNETT ,,8117.0,4526.0,3587.0,0.0,4.0
CHIPPEWA ,,12220.0,6966.0,5249.0,0.0,5.0
CLARK ,,13530.0,7823.0,5702.0,0.0,5.0
DOUGLAS ,,22339.0,8936.0,13381.0,1.0,21.0
FLORENCE ,,2378.0,1506.0,868.0,0.0,4.0
FOREST ,,4281.0,2327.0,1951.0,0.0,3.0
IRON ,,3374.0,1908.0,1465.0,0.0,1.0
JACKSON ,,907.0,531.0,375.0,0.0,1.0
JUNEAU ,,2554.0,1451.0,1101.0,0.0,2.0
LANGLADE ,,9826.0,6201.0,3615.0,0.0,10.0
LINCOLN ,,14853.0,8517.0,6307.0,0.0,29.0
MARATHON ,,68185.0,40878.0,27214.0,0.0,93.0
MONROE ,,2125.0,1270.0,849.0,0.0,6.0
ONEIDA ,,20642.0,11570.0,9033.0,0.0,39.0
POLK ,,21361.0,12181.0,9152.0,0.0,28.0
PRICE ,,7328.0,4045.0,3277.0,0.0,6.0
RUSK ,,6832.0,3611.0,3217.0,0.0,4.0
SAWYER ,,8499.0,4660.0,3834.0,0.0,5.0
ST. CROIX ,,44317.0,25679.0,18567.0,1.0,70.0
TAYLOR ,,9266.0,6090.0,3174.0,0.0,2.0
VILAS ,,13297.0,8005.0,5276.0,0.0,16.0
WASHBURN ,,8731.0,4788.0,3939.0,0.0,4.0
WOOD ,,15506.0,9432.0,6059.0,1.0,14.0
Office Totals:,,359669.0,201720.0,157524.0,20.0,405.0
