"'1st ","'Dem. ","'Colleen Crocker-MacMillin ","'6,769 ",
"'","'Rep. ","'Dave Hutchison ","'10,872 ",
"'2nd ","'Dem. ","'Tom Tomaszewski ","'7,166 ",
"'","'Rep. ","'Frank G. Lasee ","'9,872 ",
"'3rd ","'Dem. ","'Michael A. Scheffler ","'5,070 ",
"'","'Rep. ","'*Al Ott ","'9,974 ",
"'4th ","'Rep. ","'*Mark Green ","'12,870 ",
"'5th ","'Dem. ","'*William N. Vander Loop ","'8,105 ",
"'","'Rep. ","'Ric Killian ","'7,414 ",
"'6th ","'Rep. ","'*John H. Ainsworth ","'10,817 ",
"'7th ","'Dem. ","'*Peter E. Bock ","'9,770 ",
"'8th ","'Dem. ","'*Walter J. Kunicki ","'3,960 ",
"'","'Rep. ","'Roberto Escamilla ","'1,477 ",
"'9th ","'Dem. ","'*Tim Carpenter ","'9,569 ",
"'","'Rep. ","'James T. Sanfilippo ","'6,559 ",
"'10th ","'Dem. ","'*Annette Polly Williams ","'6,715 ",
"'11th ","'Dem. ","'*Johnnie Morris-Tatum ","'7,336 ",
"'12th ","'Dem. ","'*Shirley I. Krug ","'9,610 ",
"'13th ","'Dem. ","'*David A. Cullen ","'10,079 ",
"'","'Rep. ","'Doug Weare ","'7,833 ",
"'14th ","'Rep. ","'*Scott K. Walker ","'15,487 ",
"'15th ","'Dem. ","'*Jeannette Bell ","'9,439 ",
"'","'Lib. ","'John T. Streicher ","'1,609 ",
"'16th ","'Dem. ","'*Leon D. Young ","'3,967 ",
"'","'Rep. ","'Hafeezah Ahmad ","'1,080 ",
"'17th ","'Dem. ","'*G. Spencer Coggs ","'7,428 ",
"'18th ","'Dem. ","'*Antonio R. Riley ","'3,319 ",
"'","'Rep. ","'Charles C. Sias ","'603 ",
"'19th ","'Dem. ","'*Barbara Notestein ","'10,006 ",
"'","'Rep. ","'Scott H. Evertz ","'4,510 ",
"'20th ","'Dem. ","'*Rosemary Potter ","'12,015 ",
"'21st ","'Dem. ","'*Richard A. Grobschmidt ","'10,645 ",
"'","'Rep. ","'Arden C. Degner ","'5,098 ",
"'22nd ","'Dem. ","'Sheldon A. Wasserman ","'11,140 ",
"'","'Rep. ","'*Polly W. Beal ","'10,652 ",
"'23rd ","'Dem. ","'*John La Fave ","'10,525 ",
"'","'Rep. ","'Don Hager ","'7,231 ",
"'24th ","'Rep. ","'*Lolita Schneiders ","'15,860 ",
"'25th ","'Dem. ","'*Bob Ziegelbauer ","'11,647 ",
"'26th ","'Dem. ","'*Jim Baumgart ","'12,036 ",
"'27th ","'Dem. ","'Joseph R. DeCecco ","'4,957 ",
"'","'Rep. ","'*Clifford Otte ","'10,330 ",
"'","'Ind. ","'Roger L. Woodke ","'493 ",
"'28th ","'Dem. ","'Robert M. Dueholm ","'8,163 ",
"'","'Lib. ","'Christopher Brewer ","'221 ",
"'","'Rep. ","'Mark L. Pettis ","'7,245 ",
"'","'Ind. ","'Jeff Peterson ","'872 ",
"'29th ","'Dem. ","'Al Baldus ","'6,739 ",
"'","'Rep. ","'Donald McGee ","'5,946 ",
"'30th ","'Dem. ","'Jill Ann Berke ","'4,830 ",
"'","'Rep. ","'*Sheila E. Harsdorf ","'10,413 ",
"'31st ","'Dem. ","'Shirley M. Wheeler ","'4,557 ",
"'","'Rep. ","'*Stephen L. Nass ","'10,265 ",
"'32nd ","'Rep. ","'*Scott R. Jensen ","'11,763 ",
"'","'Tax. ","'David Ostendorf ","'1,423 ",
"'33rd ","'Rep. ","'*Daniel P. Vrakas ","'15,018 ",
"'34th ","'Dem. ","'Jenny Owen ","'9,520 ",
"'","'Rep. ","'Joseph W. Handrick ","'11,899 ",
"'35th ","'Dem. ","'Scott A. Doerr ","'4,653 ",
"'","'Rep. ","'*Thomas D. Ourada ","'11,715 ",
"'36th ","'Dem. ","'Jerry T. Schwartz ","'7,071 ",
"'","'Rep. ","'*Lorraine M. Seratti ","'9,818 ",
"'37th ","'Dem. ","'Jeff Pieterick ","'5,480 ",
"'","'Rep. ","'*David Ward ","'8,897 ",
"'38th ","'Rep. ","'*Steven M. Foti ","'12,715 ",
"'39th ","'Rep. ","'*Robert G. Goetsch ","'11,123 ",
"'40th ","'Rep. ","'*William D. Lorge ","'10,146 ",
"'41st ","'Rep. ","'Doug Lyke (write-in) ","'1,093 ",
"'","'Rep. ","'Luther S. Olsen ","'11,013 ",
"'42nd ","'Rep. ","'*Ben Brancel ","'12,449 ",
"'43rd ","'Rep. ","'*Charles W. Coleman ","'10,876 ",
"'44th ","'Dem. ","'*Wayne W. Wood ","'10,373 ",
"'","'Rep. ","'William J. Sodemann ","'6,263 ",
"'45th ","'Dem. ","'*Judy Robson ","'8,415 ",
"'","'Rep. ","'Charles Reed ","'4,560 ",
"'46th ","'Dem. ","'Michael Haas ","'8,428 ",
"'","'Lib. ","'Thomas G. Ender ","'287 ",
"'","'Rep. ","'*Rudy Silbaugh ","'8,806 ",
"'47th ","'Dem. ","'James W. Festge ","'7,706 ",
"'","'Rep. ","'*Eugene Hahn ","'10,549 ",
"'48th ","'Dem. ","'*Doris J. Hanson ","'13,670 ",
"'49th ","'Rep. ","'*David A. Brandemuehl ","'10,429 ",
"'50th ","'Rep. ","'*Sheryl Albers ","'12,284 ",
"'51st ","'Dem. ","'Richard Rothenbueler ","'3,709 ",
"'","'Rep. ","'*Stephen J. Freese ","'10,655 ",
"'52nd ","'Dem. ","'Todd Schmitz ","'5,386 ",
"'","'Rep. ","'*John P. Dobyns ","'9,012 ",
"'53rd ","'Lib. ","'James E. Reiff ","'1,389 ",
"'","'Rep. ","'Carol Owens ","'12,217 ",
"'54th ","'Rep. ","'*Gregg Underheim ","'9,712 ",
"'55th ","'Dem. ","'Jason J. Hanson ","'4,471 ",
"'","'Rep. ","'*Dean R. Kaufert ","'9,955 ",
"'56th ","'Rep. ","'*Judith A. Klusman ","'12,296 ",
"'57th ","'Rep. ","'*David Prosser, Jr. ","'12,277 ",
"'58th ","'Lib. ","'David J. Howard ","'1,298 ",
"'","'Rep. ","'*Michael A. Lehman ","'14,02) ",
"'59th ","'Rep. ","'*Glenn Grothman ","'13,222 ",
"'60th ","'Rep. ","'Tim Hoven ","'14,388 ",
"'","'Tax. ","'Robert R. Raymond ","'2,152 ",
"'61st ","'Dem. ","'*Robert L. Turner ","'7,464 ",
"'62nd ","'Dem. ","'*Kimberly M. Plache ","'9,504 ",
"'","'Rep. ","'James Turek ","'6,406 ",
"'63rd ","'Rep. ","'*Bonnie L. Ladwig ","'14,724 ",
"'64th ","'Dem. ","'*James Kreuser ","'9,622 ",
"'65th ","'Dem. ","'*Robert W. Wirch ","'10,722 ",
"'","'Rep. ","'Walter E. Velden ","'4,74) ",
"'66th ","'Rep. ","'*Cloyd Porter ","'12,660 ",
"'67th ","'Dem. ","'*Michael O. Wilder ","'8,795 ",
"'","'Rep. ","'Tony Govin ","'5,78 ",
"'68th ","'Dem. ","'*David S. Plombon ","'7,750 ",
"'","'Rep. ","'Wayne Laufenberg ","'7,217 ",
"'","'Ind. ","'Mark S. Lawrence ","'497 ",
"'69th ","'Dem. ","'James M. Archambo ","'5,087 ",
"'","'Rep. ","'*Robert Zukowski ","'9,086 ",
"'70th ","'Dem. ","'*Donald W. Hasenohrl ","'8,193 ",
"'","'Rep. ","'Donna Rozar ","'7,526 ",
"'","'Tax. ","'Wayne Wiedeman ","'341 ",
"'71st ","'Dem. ","'William M. Murat ","'7,817 ",
"'","'Rep. ","'Jackie Szehner ","'6,392 ",
"'","'Tax. ","'Lonnie W. Stine ","'557 ",
"'72nd ","'Dem. ","'*Marlin D. Schneider ","'10,681 ",
"'73rd ","'Dem. ","'*Frank Boyle ","'10,687 ",
"'74th ","'Dem. ","'*Barbara J. Linton ","'12,566 ",
"'75th ","'Dem. ","'*Mary Hubler ","'9,909 ",
"'76th ","'Dem. ","'*Rebecca Young ","'11,637 ",
"'","'Lib. ","'Robert Hess ","'335 ",
"'","'Rep. ","'Paul Tessmer ","'8,095 ",
"'77th ","'Dem. ","'*Spencer Black ","'14,504 ",
"'","'Lib. ","'Jonathan Grad ","'1,796 ",
"'78th ","'Dem. ","'*Tammy Baldwin ","'11,167 ",
"'","'Rep. ","'Scott Wilson ","'3,581 ",
"'79th ","'Dem. ","'Tom Capp ","'7,903 ",
"'","'Rep. ","'*Rick Skindrud ","'11,602 ",
"'80th ","'Dem. ","'Christopher A. Eager ","'6,806 ",
"'","'Rep. ","'Mike Powers ","'7,879 ",
"'","'Tax. ","'Ralph N. Ovadal ","'2,008 ",
"'81st ","'Dem. ","'*David Travis ","'8,965 ",
"'","'Rep. ","'Maureen D'Malley ","'8,334 ",
"'82nd ","'Dem. ","'*James A. Rutkowski ","'12,027 ",
"'83rd ","'Dem. ","'Thomas R. Schilling ","'6,977 ",
"'","'Rep. ","'Scott L. Gunderson ","'11,538 ",
"'84th ","'Rep. ","'*Mary A. Lazich ","'13,655 ",
"'85th ","'Dem. ","'*Gregory B. Huber ","'10,446 ",
"'","'Rep. ","'Eric D. Zeichert ","'5,568 ",
"'86th ","'Dem. ","'*Tom Springer ","'8,609 ",
"'","'Rep. ","'James B. Jacobson ","'8,250 ",
"'87th ","'Dem. ","'*Marty Reynolds ","'10,690 ",
"'","'Rep. ","'Jon Anthony Hauser ","'5,820 ",
"'","'Ind. ","'Robert G. Nawrocki ","'319 ",
"'88th ","'Dem. ","'*Rosemary Hinkfuss ","'6,360 ",
"'","'Rep. ","'Carol Kelso ","'8,223 ",
"'89th ","'Dem. ","'Kim Fenske ","'4,742 ",
"'","'Rep. ","'*John G. Gard ","'10,325 ",
"'90th ","'Dem. ","'*John J. Ryba ","'8,255 ",
"'","'Rep. ","'Jeffrey G. Landin ","'6,760 ",
"'91st ","'Dem. ","'*Barbara Gronemus ","'11,399 ",
"'92nd ","'Rep. ","'*Terry M. Musser ","'11,515 ",
"'93rd ","'Dem. ","'Susan Miller ","'5,885 ",
"'","'Rep. ","'*Rob Kreibich ","'10,635 ",
"'94th ","'Dem. ","'*Virgil Roberts ","'8,118 ",
"'","'Rep. ","'Michael D. Huebsch ","'8,690 ",
"'95th ","'Dem. ","''Mark Meyer ","'9,408 ",
"'","'Rep. ","'David A. Drewes ","'4,831 ",
"'96th ","'Dem. ","'Don Strait ","'4,422 ",
"'","'Rep. ","'OuWayne G. Johnsrud ","'10,318 ",
"'97th ","'Dem. ","'*Peggy Krusick ","'13,576 ",
"'","'Lib. ","'Donald L. Carlson ","'326 ",
"'","'Rep. ","'Nicholas Oliver ","'4,271 ",
"'98th ","'Rep. ","'*Marc C. Duff ","'14,926 ",
"'","'Tax. ","'Daniel Treuden ","'1,017 ",
"'99th ","'Rep. ","'*Frank H. Urban ","'15,912 ",
