"'Assembly District ","'Political Party ","'Candidate ","'Vote ",
"'","'November ","'8, 1994 General Election ","'",
"'68th ","'Dem. ","'*David S. Plombon ","'7,750 ",
"'","'Rep. ","'Wayne Laufenberg ","'7,217 ",
"'","'Ind. ","'Mark S. Lawrence ","'497 ",
"'69th ","'Dem. ","'James M. Archambo ","'5,087 ",
"'","'Rep. ","'*Robert Zukowski ","'9,086 ",
"'70th ","'Dem. ","'*Donald W. Hasenohrl ","'8,193 ",
"'","'Rep. ","'Donna Rozar ","'7,526 ",
"'","'Tax. ","'Wayne Wiedeman ","'341 ",
"'71st ","'Dem. ","'William M. Murat ","'7,817 ",
"'","'Rep. ","'Jackie Szehner ","'6,392 ",
"'","'Tax. ","'Lonnie W. Stine ","'557 ",
"'72nd ","'Dem. ","'*Marlin D. Schneider ","'10,681 ",
"'73rd ","'Dem. ","'*Frank Boyle ","'10,687 ",
"'74th ","'Dem. ","'*Barbara J. Linton ","'12,566 ",
"'75th ","'Dem. ","'*Mary Hubler ","'9,909 ",
"'76th ","'Dem. ","'*Rebecca Young ","'11,637 ",
"'","'Lib. ","'Robert Hess ","'335 ",
"'","'Rep. ","'Paul Tessmer ","'8,095 ",
"'77th ","'Dem. ","'*Spencer Black ","'14,504 ",
"'","'Lib. ","'Jonathan Grad ","'1,796 ",
"'78th ","'Dem. ","'*Tammy Baldwin ","'11,167 ",
"'","'Rep. ","'Scott Wilson ","'3,581 ",
"'79th ","'Dem. ","'Tom Capp ","'7,903 ",
"'","'Rep. ","'*Rick Skindrud ","'11,602 ",
"'80th ","'Dem. ","'Christopher A. Eager ","'6,806 ",
"'","'Rep. ","'Mike Powers ","'7,879 ",
"'","'Tax. ","'Ralph N. Ovadal ","'2,008 ",
"'81st ","'Dem. ","'*David Travis ","'8,965 ",
"'","'Rep. ","'Maureen D'Malley ","'8,334 ",
"'82nd ","'Dem. ","'*James A. Rutkowski ","'12,027 ",
"'83rd ","'Dem. ","'Thomas R. Schilling ","'6,977 ",
"'","'Rep. ","'Scott L. Gunderson ","'11,538 ",
"'84th ","'Rep. ","'*Mary A. Lazich ","'13,655 ",
"'85th ","'Dem. ","'*Gregory B. Huber ","'10,446 ",
"'","'Rep. ","'Eric D. Zeichert ","'5,568 ",
"'86th ","'Dem. ","'*Tom Springer ","'8,609 ",
"'","'Rep. ","'James B. Jacobson ","'8,250 ",
"'87th ","'Dem. ","'*Marty Reynolds ","'10,690 ",
"'","'Rep. ","'Jon Anthony Hauser ","'5,820 ",
"'","'Ind. ","'Robert G. Nawrocki ","'319 ",
"'88th ","'Dem. ","'*Rosemary Hinkfuss ","'6,360 ",
"'","'Rep. ","'Carol Kelso ","'8,223 ",
"'89th ","'Dem. ","'Kim Fenske ","'4,742 ",
"'","'Rep. ","'*John G. Gard ","'10,325 ",
"'90th ","'Dem. ","'*John J. Ryba ","'8,255 ",
"'","'Rep. ","'Jeffrey G. Landin ","'6,760 ",
"'91st ","'Dem. ","'*Barbara Gronemus ","'11,399 ",
"'92nd ","'Rep. ","'*Terry M. Musser ","'11,515 ",
"'93rd ","'Dem. ","'Susan Miller ","'5,885 ",
"'","'Rep. ","'*Rob Kreibich ","'10,635 ",
"'94th ","'Dem. ","'*Virgil Roberts ","'8,118 ",
"'","'Rep. ","'Michael D. Huebsch ","'8,690 ",
"'95th ","'Dem. ","''Mark Meyer ","'9,408 ",
"'","'Rep. ","'David A. Drewes ","'4,831 ",
"'96th ","'Dem. ","'Don Strait ","'4,422 ",
"'","'Rep. ","'OuWayne G. Johnsrud ","'10,318 ",
"'97th ","'Dem. ","'*Peggy Krusick ","'13,576 ",
"'","'Lib. ","'Donald L. Carlson ","'326 ",
"'","'Rep. ","'Nicholas Oliver ","'4,271 ",
"'98th ","'Rep. ","'*Marc C. Duff ","'14,926 ",
"'","'Tax. ","'Daniel Treuden ","'1,017 ",
"'99th ","'Rep. ","'*Frank H. Urban ","'15,912 ",
