"'County ","'Thomas C. Hecht (Dem.) ","'Scott L. Klug (Rep.) ","'John J. Stumpf (Tax.) ","'Joseph E. Schumacher (Ind.) ","'",
"'Columbia ","'3,017 ","'11,739 ","'620 ","'37 ","'",
"'Dane ","'44,856 ","'90,303 ","'1,209 ","'1,036 ","'",
"'Dodge (part) ","'455 ","'2,038 ","'72 ","'31 ","'",
"'Green ","'933 ","'5,133 ","'200 ","'47 ","'",
"'Iowa ","'1,291 ","'4,754 ","'42 ","'24 ","'",
"'Jefferson (part) ","'118 ","'433 ","'12 ","'6 ","'",
"'Lafayette ","'844 ","'3,922 ","'31 ","'15 ","'",
"'Richland ","'989 ","'4,481 ","'53 ","'23 ","'",
"'Sauk ","'2,903 ","'10,931 ","'437 ","'108 ","'",
"'TOTAL ","'55,406 ","'133,734 ","'2,676 ","'1,327 ","'",
