"'County ","'Harvey Stower (Dem.) ","'Steve Gunderson (Rep.) ","'Chuck Lee (Tax.) ","'Mark Weinhold (Ind.) ",
"'Barron ","'5,018 ","'5,512 ","'73 ","'45 ",
"'Buffalo ","'1,775 ","'2,004 ","'27 ","'25 ",
"'Chippewa (part) ","'112 ","'107 ","'1 ","'3 ",
"'Clark (part) ","'2,010 ","'2,921 ","'107 ","'44 ",
"'Crawford ","'1,947 ","'2,198 ","'28 ","'29 ",
"'Dunn ","'3,938 ","'4,840 ","'171 ","'213 ",
"'Eau Claire (part) ","'10,066 ","'15,184 ","'979 ","'561 ",
"'Grant ","'3,965 ","'8,623 ","'95 ","'97 ",
"'Jackson ","'2,505 ","'2,963 ","'115 ","'42 ",
"'La Crosse ","'11,396 ","'18,319 ","'491 ","'686 ",
"'Monroe (part) ","'1,408 ","'2,077 ","'69 ","'37 ",
"'Pepin ","'998 ","'1,190 ","'50 ","'28 ",
"'Pierce ","'4,083 ","'5,368 ","'96 ","'94 ",
"'Polk (part) ","'3,196 ","'1,795 ","'43 ","'21 ",
"'St. Croix ","'6,332 ","'7,734 ","'283 ","'241 ",
"'Trempealeau ","'3,460 ","'4,065 ","'76 ","'53 ",
"'Vernon ","'3,549 ","'4,438 ","'133 ","'60 ",
"'TOTAL ","'65,758 ","'89,338 ","'2,837 ","'2,279 ",
