"'County ","'Stan Gruszynski (Dem.) ","'Toby Roth (Rep.) ",
"'Brown (part) ","'27,375 377 ","'35,151 631 ",
"'Calumet (part) ","'3,365 ","'5,702 ",
"'Door ","'426 ","'1,418 ",
"'Florence ","'833 ","'2,050 ",
"'Forest ","'2,958 ","'4,143 ",
"'Kewaunee ","'","'",
"'Langlade ","'1,491 ","'4,866 138 ",
"'Manitowoc (part) ","'100 ","'",
"'Marinette ","'4,583 336 ","'8,992 448 ",
"'Menominee ","'3,377 ","'6,076 ",
"'Oconto ","'","'",
"'Oneida (part) ","'1,933 ","'6,079 24,625 ",
"'Outagamie (part) ","'12,936 3,080 ","'7,397 ",
"'Shawano ","'","'",
"'Vilas ","'1,895 ","'6,603 ",
"'TOTAL ","'65,065 ","'114,319 ",
