"'County ","'Al Lindskoog (Dem.) ","'James Dean (Lib.) ","'Thomas E. Petri (Rep.) ","'Timothy Farness (Tax.) ",
"'Adams ","'2,556 ","'83 ","'4,266 ","'88 ",
"'Brown (part) ","'141 ","'14 ","'566 ","'12 ",
"'Calumet (part) ","'2,816 ","'183 ","'11,272 ","'159 ",
"'Fond du Lac (part) ","'7,725 ","'714 ","'28,354 ","'408 ",
"'Green Lake ","'1,451 ","'193 ","'5,807 ","'42 ",
"'Juneau ","'1,843 ","'90 ","'6,123 ","'246 ",
"'Manitowoc ","'9,365 ","'439 ","'21,842 ","'198 ",
"'Marquette ","'1,662 ","'69 ","'3,981 ","'37 ",
"'Monroe (part) ","'2,167 ","'86 ","'6,350 ","'88 ",
"'Outagamie (part) ","'2,464 ","'165 ","'6,628 ","'143 ",
"'Sheboygan (part) ","'2,271 ","'137 ","'8,826 ","'130 ",
"'Waupaca ","'4,277 ","'184 ","'13,374 ","'161 ",
"'Waushara ","'2,045 ","'98 ","'5,964 ","'102 ",
"'Winnebago ","'14,594 ","'2,039 ","'45,860 ","'718 ",
"'TOTAL ","'55,377 ","'4,494 ","'169,213 ","'2,532 ",
