"'County ","'David R. Obey (Dem.) ","'Scott West (Rep.) ",
"'Ashland ","'4,497 ","'2,214 ",
"'Bayfield ","'4,739 ","'2,473 ",
"'Burnett ","'4,133 ","'2,668 ",
"'Chippewa (part) ","'11,616 ","'9,087 ",
"'Clark (part) ","'2,831 ","'2,355 ",
"'Douglas ","'12,161 ","'5,964 ",
"'Eau Claire (part) ","'206 ","'160 ",
"'Iron ","'2,029 ","'1,271 ",
"'Lincoln ","'6,888 ","'5,428 ",
"'Marathon ","'26,019 ","'25,227 ",
"'Oneida (part) ","'3,442 ","'2,216 ",
"'Polk (part) ","'5,106 ","'2,930 ",
"'Portage ","'16,954 ","'12,234 ",
"'Price ","'4,200 ","'3,010 ",
"'Rusk ","'3,829 ","'2,543 ",
"'Sawyer ","'3,122 ","'3,081 ",
"'Taylor ","'4,014 ","'3,703 ",
"'Washburn ","'3,789 ","'2,956 ",
"'Wood ","'17,853 ","'13,845 ",
"'TOTAL ","'137,428 ","'103,365 ",
