"'County ","'Jay Johnson (Dem.) ","'David Prosser (Rep.) ",
"'Brown (part) ","'50,300 ","'39,928 ",
"'Calumet (part) ","'738 ","'683 ",
"'Door ","'6,708 ","'5,812 ",
"'Florence ","'966 ","'1,047 ",
"'Forest ","'1,904 ","'1,572 ",
"'Kewaunee ","'4,692 ","'3,748 ",
"'Langlade ","'3,428 ","'4,593 ",
"'Manitowoc (part) ","'160 ","'167 ",
"'Marinette ","'10,043 ","'7,800 ",
"'Menominee ","'967 ","'254 ",
"'Oconto ","'7,387 ","'6,082 ",
"'Oneida (part) ","'3,747 ","'6,569 ",
"'Outagamie (part) ","'28,003 ","'26,743 ",
"'Shawano ","'7,175 ","'7,688 ",
"'Vilas ","'3,333 ","'6,712 ",
"'TOTAL ","'129,551 ","'119,398 ",
