a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e,f,g,h,i,j,k,l,m,n,o,p
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
President of the United States,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
County,,Total Votes Cast,REP,DEM,CON,IND,IND,IND,IND,IND,,,,IND,
,,,"MITT ROMNEY
PAUL RYAN","BARACK OBAMA
JOE BIDEN","VIRGIL GOODE
JIM CLYMER","GARY JOHNSON
JAMES P. GRAY","GLORIA LA RIVA
FILBERTO RAMIREZ, JR.","JERRY WHITE
PHYLLIS SCHERRER","JILL STEIN
BEN MANSKI","ROSS C. ROCKY ANDERSON
LUIS J. RODRIGUEZ (WRITE-IN)",,,,"ROSEANNE BARR
CINDY LEE SHEEHAN (WRITE IN)",SCATTERING
ADAMS ,,10287.0,4644.0,5542.0,16.0,51.0,3.0,5.0,10.0,0.0,,,,2.0,14.0
ASHLAND ,,8372.0,2820.0,5399.0,18.0,50.0,4.0,3.0,59.0,2.0,,,,0.0,17.0
BARRON ,,22692.0,11443.0,10890.0,47.0,169.0,5.0,6.0,54.0,15.0,,,,23.0,40.0
BAYFIELD ,,9788.0,3603.0,6033.0,17.0,55.0,0.0,1.0,67.0,0.0,,,,0.0,12.0
BROWN ,,128928.0,64836.0,62526.0,204.0,805.0,21.0,16.0,308.0,0.0,,,,1.0,211.0
BUFFALO ,,7039.0,3364.0,3570.0,29.0,41.0,3.0,4.0,14.0,0.0,,,,2.0,12.0
BURNETT ,,8677.0,4550.0,3986.0,26.0,64.0,5.0,1.0,24.0,0.0,,,,0.0,21.0
CALUMET ,,26420.0,14539.0,11489.0,54.0,224.0,6.0,6.0,56.0,0.0,,,,0.0,46.0
CHIPPEWA ,,30932.0,15322.0,15237.0,69.0,183.0,3.0,13.0,67.0,1.0,,,,2.0,35.0
CLARK ,,13801.0,7412.0,6172.0,42.0,87.0,7.0,8.0,39.0,0.0,,,,0.0,34.0
COLUMBIA ,,30546.0,13026.0,17175.0,36.0,180.0,2.0,1.0,69.0,0.0,,,,0.0,57.0
CRAWFORD ,,7817.0,3067.0,4629.0,16.0,62.0,4.0,4.0,19.0,0.0,,,,0.0,16.0
DANE ,,304181.0,83644.0,216071.0,307.0,2294.0,38.0,47.0,1335.0,36.0,,,,3.0,406.0
DODGE ,,44488.0,25211.0,18762.0,76.0,267.0,5.0,14.0,83.0,0.0,,,,1.0,69.0
DOOR ,,17671.0,8121.0,9357.0,22.0,83.0,6.0,2.0,47.0,0.0,,,,0.0,33.0
DOUGLAS ,,22894.0,7705.0,14863.0,48.0,151.0,4.0,5.0,104.0,0.0,,,,0.0,14.0
DUNN ,,21992.0,10224.0,11316.0,49.0,271.0,6.0,5.0,69.0,2.0,,,,0.0,50.0
EAU CLAIRE ,,54806.0,23256.0,30666.0,75.0,494.0,9.0,6.0,176.0,1.0,,,,0.0,123.0
FLORENCE ,,2625.0,1645.0,953.0,6.0,12.0,0.0,1.0,1.0,0.0,,,,0.0,7.0
FOND DU LAC ,,53402.0,30355.0,22379.0,115.0,351.0,5.0,8.0,111.0,2.0,,,,4.0,72.0
FOREST ,,4648.0,2172.0,2425.0,11.0,23.0,0.0,4.0,6.0,0.0,,,,0.0,7.0
GRANT ,,24248.0,10255.0,13594.0,62.0,201.0,9.0,5.0,56.0,1.0,,,,0.0,65.0
GREEN ,,19322.0,7857.0,11206.0,29.0,142.0,2.0,3.0,44.0,0.0,,,,0.0,39.0
GREEN LAKE ,,9675.0,5782.0,3793.0,22.0,43.0,4.0,0.0,19.0,0.0,,,,1.0,11.0
IOWA ,,12534.0,4287.0,8105.0,13.0,78.0,0.0,2.0,27.0,0.0,,,,0.0,22.0
IRON ,,3632.0,1790.0,1784.0,10.0,27.0,2.0,2.0,9.0,0.0,,,,0.0,8.0
JACKSON ,,9313.0,3900.0,5298.0,17.0,48.0,4.0,4.0,21.0,0.0,,,,0.0,21.0
JEFFERSON ,,44281.0,23517.0,20158.0,93.0,303.0,3.0,7.0,106.0,0.0,,,,0.0,94.0
JUNEAU ,,11827.0,5411.0,6242.0,22.0,82.0,2.0,3.0,33.0,0.0,,,,0.0,32.0
KENOSHA ,,80897.0,34977.0,44867.0,97.0,566.0,20.0,11.0,188.0,1.0,,,,0.0,170.0
KEWAUNEE ,,11037.0,5747.0,5153.0,27.0,56.0,2.0,6.0,30.0,0.0,,,,0.0,16.0
LA CROSSE ,,63462.0,25751.0,36693.0,129.0,547.0,9.0,12.0,176.0,8.0,,,,5.0,132.0
LAFAYETTE ,,7952.0,3314.0,4536.0,17.0,46.0,2.0,3.0,25.0,0.0,,,,0.0,9.0
LANGLADE ,,10519.0,5816.0,4573.0,26.0,49.0,2.0,3.0,22.0,0.0,,,,0.0,28.0
LINCOLN ,,15216.0,7455.0,7563.0,37.0,90.0,1.0,3.0,35.0,0.0,,,,0.0,32.0
MANITOWOC ,,42617.0,21604.0,20403.0,111.0,300.0,7.0,5.0,102.0,1.0,,,,2.0,82.0
MARATHON ,,69862.0,36617.0,32363.0,126.0,421.0,6.0,15.0,175.0,1.0,,,,3.0,135.0
MARINETTE ,,20777.0,10619.0,9882.0,38.0,141.0,4.0,4.0,51.0,0.0,,,,0.0,38.0
MARQUETTE ,,8105.0,3992.0,4014.0,17.0,43.0,2.0,4.0,13.0,0.0,,,,0.0,20.0
MENOMINEE ,,1377.0,179.0,1191.0,1.0,5.0,0.0,0.0,1.0,0.0,,,,0.0,0.0
MILWAUKEE ,,492576.0,154924.0,332438.0,594.0,2623.0,98.0,78.0,1042.0,2.0,,,,2.0,775.0
MONROE ,,19485.0,9675.0,9515.0,47.0,132.0,6.0,8.0,55.0,1.0,,,,4.0,42.0
OCONTO ,,19859.0,10741.0,8865.0,35.0,138.0,6.0,3.0,43.0,1.0,,,,0.0,27.0
ONEIDA ,,21652.0,10917.0,10452.0,51.0,137.0,2.0,1.0,44.0,2.0,,,,0.0,46.0
OUTAGAMIE ,,94596.0,47372.0,45659.0,176.0,961.0,16.0,16.0,240.0,2.0,,,,3.0,151.0
OZAUKEE ,,55817.0,36077.0,19159.0,52.0,317.0,6.0,1.0,127.0,3.0,,,,4.0,71.0
PEPIN ,,3699.0,1794.0,1876.0,8.0,12.0,1.0,1.0,6.0,0.0,,,,0.0,1.0
PIERCE ,,21020.0,10397.0,10235.0,58.0,177.0,5.0,2.0,86.0,0.0,,,,0.0,60.0
