a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e,f
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,,
,,,,,
ASSEMBLY - DISTRICT 74,,,,,
,,,,,
County,,Total Votes Cast,REP,DEM,
,,,JOHN SENDRA,JANET BEWLEY,SCATTERING
ASHLAND ,,8091.0,2630.0,5455.0,6.0
BAYFIELD ,,9402.0,3252.0,6148.0,2.0
DOUGLAS ,,683.0,249.0,434.0,0.0
IRON ,,3399.0,2020.0,1378.0,1.0
PRICE ,,7433.0,3725.0,3704.0,4.0
SAWYER ,,1015.0,515.0,500.0,0.0
VILAS ,,1486.0,520.0,963.0,3.0
Office Totals:,,31509.0,12911.0,18582.0,16.0
