a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e,f,g,h,i,j
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,,,,,,
,,,,,,,,,
US SENATOR,,,,,,,,,
,,,,,,,,,
County,,Total Votes Cast,REP,DEM,IND,IND,CON,IND,
,,,TOMMY G. THOMPSON,TAMMY BALDWIN,JOSEPH KEXEL,"NIMROD Y.U. ALLEN, III",RILEY J. HOOD (WRITE-IN),DIANE E. LORBIECKI (WRITE-IN),SCATTERING
ADAMS ,,9810.0,4404.0,5161.0,183.0,52.0,0.0,0.0,10.0
ASHLAND ,,8388.0,2912.0,5306.0,95.0,64.0,0.0,0.0,11.0
BARRON ,,22285.0,10805.0,10644.0,508.0,181.0,7.0,3.0,137.0
BAYFIELD ,,9630.0,3476.0,6017.0,85.0,52.0,0.0,0.0,0.0
BROWN ,,125976.0,61838.0,60409.0,2709.0,843.0,0.0,0.0,177.0
BUFFALO ,,6877.0,3284.0,3366.0,170.0,52.0,1.0,0.0,4.0
BURNETT ,,8438.0,4288.0,3996.0,117.0,36.0,0.0,0.0,1.0
CALUMET ,,25972.0,14053.0,10989.0,748.0,154.0,1.0,0.0,27.0
CHIPPEWA ,,30500.0,14677.0,14774.0,803.0,227.0,0.0,0.0,19.0
CLARK ,,13547.0,6875.0,6159.0,354.0,142.0,0.0,0.0,17.0
COLUMBIA ,,30203.0,13413.0,16028.0,641.0,100.0,0.0,0.0,21.0
CRAWFORD ,,7635.0,3117.0,4321.0,158.0,35.0,0.0,0.0,4.0
DANE ,,300587.0,88395.0,206917.0,3823.0,1258.0,1.0,4.0,189.0
DODGE ,,43899.0,24646.0,17867.0,1124.0,201.0,0.0,0.0,61.0
DOOR ,,17432.0,7996.0,8966.0,379.0,72.0,0.0,0.0,19.0
DOUGLAS ,,22464.0,7478.0,14599.0,220.0,159.0,0.0,0.0,8.0
DUNN ,,21509.0,10038.0,10671.0,568.0,205.0,0.0,0.0,27.0
EAU CLAIRE ,,53833.0,23036.0,29057.0,1291.0,361.0,0.0,0.0,88.0
FLORENCE ,,2550.0,1586.0,908.0,42.0,12.0,0.0,0.0,2.0
FOND DU LAC ,,52294.0,29539.0,21273.0,1114.0,321.0,2.0,0.0,45.0
FOREST ,,4455.0,2028.0,2288.0,104.0,33.0,0.0,0.0,2.0
GRANT ,,23628.0,10902.0,12027.0,520.0,166.0,0.0,0.0,13.0
GREEN ,,19153.0,7954.0,10721.0,385.0,71.0,0.0,0.0,22.0
GREEN LAKE ,,9530.0,5600.0,3637.0,217.0,73.0,0.0,0.0,3.0
IOWA ,,12382.0,4631.0,7454.0,229.0,60.0,0.0,0.0,8.0
IRON ,,3478.0,1785.0,1656.0,24.0,13.0,0.0,0.0,0.0
JACKSON ,,9156.0,3894.0,4979.0,214.0,62.0,0.0,0.0,7.0
JEFFERSON ,,43514.0,23393.0,19081.0,810.0,176.0,3.0,0.0,51.0
JUNEAU ,,11609.0,5805.0,5474.0,255.0,59.0,1.0,1.0,14.0
KENOSHA ,,79111.0,33273.0,42825.0,2583.0,325.0,0.0,0.0,105.0
KEWAUNEE ,,10918.0,5419.0,5149.0,257.0,82.0,0.0,0.0,11.0
LA CROSSE ,,62351.0,26271.0,34203.0,1425.0,402.0,6.0,4.0,40.0
LAFAYETTE ,,7824.0,3549.0,4110.0,127.0,35.0,0.0,0.0,3.0
LANGLADE ,,10175.0,5255.0,4580.0,256.0,73.0,0.0,0.0,11.0
LINCOLN ,,14935.0,6911.0,7379.0,439.0,188.0,0.0,0.0,18.0
MANITOWOC ,,41862.0,20646.0,19616.0,1178.0,371.0,1.0,6.0,44.0
MARATHON ,,68787.0,34688.0,31751.0,1675.0,574.0,0.0,3.0,96.0
MARINETTE ,,20263.0,9989.0,9685.0,439.0,140.0,0.0,0.0,10.0
MARQUETTE ,,8005.0,4032.0,3744.0,181.0,35.0,0.0,0.0,13.0
MENOMINEE ,,1273.0,213.0,1015.0,35.0,8.0,0.0,0.0,2.0
MILWAUKEE ,,477884.0,155410.0,312618.0,7181.0,2022.0,11.0,3.0,639.0
MONROE ,,19157.0,9899.0,8629.0,457.0,156.0,0.0,0.0,16.0
OCONTO ,,19535.0,10032.0,8792.0,502.0,189.0,0.0,0.0,20.0
ONEIDA ,,21199.0,10183.0,10047.0,706.0,223.0,0.0,0.0,40.0
OUTAGAMIE ,,92928.0,46212.0,43297.0,2541.0,770.0,6.0,0.0,102.0
OZAUKEE ,,55050.0,35463.0,18285.0,1059.0,171.0,2.0,2.0,68.0
PEPIN ,,3592.0,1702.0,1812.0,64.0,13.0,0.0,0.0,1.0
PIERCE ,,20606.0,9850.0,10254.0,364.0,126.0,0.0,0.0,12.0
POLK ,,22144.0,11310.0,10192.0,483.0,140.0,0.0,0.0,19.0
PORTAGE ,,38274.0,15710.0,21469.0,709.0,322.0,0.0,1.0,63.0
PRICE ,,7730.0,3623.0,3832.0,211.0,61.0,0.0,0.0,3.0
RACINE ,,101462.0,47030.0,51630.0,2109.0,596.0,12.0,6.0,79.0
RICHLAND ,,8437.0,3786.0,4504.0,116.0,27.0,0.0,0.0,4.0
ROCK ,,79243.0,30010.0,46892.0,1859.0,408.0,0.0,0.0,74.0
RUSK ,,7043.0,3393.0,3298.0,242.0,103.0,0.0,0.0,7.0
SAUK ,,31599.0,13565.0,17247.0,638.0,121.0,0.0,1.0,27.0
SAWYER ,,8739.0,4163.0,4445.0,100.0,25.0,0.0,0.0,6.0
SHAWANO ,,19852.0,10417.0,8755.0,503.0,155.0,4.0,1.0,17.0
SHEBOYGAN ,,61766.0,33472.0,26284.0,1586.0,359.0,4.0,2.0,59.0
ST. CROIX ,,45572.0,24347.0,20053.0,984.0,149.0,1.0,0.0,38.0
TAYLOR ,,9280.0,5049.0,3859.0,270.0,99.0,0.0,0.0,3.0
TREMPEALEAU ,,13223.0,5699.0,7144.0,297.0,78.0,0.0,0.0,5.0
VERNON ,,14022.0,6051.0,7543.0,327.0,93.0,0.0,0.0,8.0
VILAS ,,13526.0,7308.0,5762.0,375.0,59.0,0.0,0.0,22.0
WALWORTH ,,51376.0,28069.0,21390.0,1588.0,237.0,2.0,0.0,90.0
WASHBURN ,,9037.0,4442.0,4405.0,140.0,50.0,0.0,0.0,0.0
WASHINGTON ,,77787.0,52950.0,22702.0,1745.0,275.0,1.0,1.0,113.0
WAUKESHA ,,240142.0,159450.0,75408.0,4098.0,963.0,0.0,3.0,220.0
