a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e,f,g
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,,,
,,,,,,
CONGRESSIONAL - DISTRICT 2,,,,,,
,,,,,,
County,,Total Votes Cast,REP,DEM,IND,
,,,CHAD LEE,MARK POCAN,JOE KOPSICK (WRITE-IN),SCATTERING
DANE ,,286425.0,81979.0,204185.0,6.0,255.0
GREEN ,,18269.0,8005.0,10245.0,0.0,19.0
IOWA ,,11347.0,4330.0,7009.0,0.0,8.0
LAFAYETTE ,,6998.0,3320.0,3674.0,0.0,4.0
RICHLAND ,,1423.0,598.0,825.0,0.0,0.0
ROCK ,,36530.0,13647.0,22401.0,0.0,482.0
SAUK ,,29906.0,12804.0,17083.0,0.0,19.0
Office Totals:,,390898.0,124683.0,265422.0,6.0,787.0
