a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e,f
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,,
,,,,,
CONGRESSIONAL - DISTRICT 3,,,,,
,,,,,
County,,Total Votes Cast,REP,DEM,
,,,RAY BOLAND,RON KIND,SCATTERING
ADAMS ,,8989.0,3799.0,5183.0,7.0
BUFFALO ,,6545.0,2252.0,4290.0,3.0
CHIPPEWA ,,17158.0,6094.0,11053.0,11.0
CRAWFORD ,,7365.0,2158.0,5203.0,4.0
DUNN ,,20622.0,7913.0,12673.0,36.0
EAU CLAIRE ,,51436.0,17720.0,33641.0,75.0
GRANT ,,21670.0,7117.0,14529.0,24.0
JACKSON ,,7717.0,2345.0,5365.0,7.0
JUNEAU ,,8238.0,2995.0,5238.0,5.0
LA CROSSE ,,60858.0,19767.0,41057.0,34.0
MONROE ,,16237.0,6559.0,9661.0,17.0
PEPIN ,,3465.0,1278.0,2186.0,1.0
PIERCE ,,19790.0,8082.0,11693.0,15.0
PORTAGE ,,35717.0,13727.0,21920.0,70.0
RICHLAND ,,6356.0,2285.0,4064.0,7.0
TREMPEALEAU ,,12599.0,4100.0,8494.0,5.0
VERNON ,,13650.0,4418.0,9224.0,8.0
WOOD ,,21352.0,9104.0,12238.0,10.0
Office Totals:,,339764.0,121713.0,217712.0,339.0
