a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e,f,g
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,,,
,,,,,,
ASSEMBLY - DISTRICT 35,,,,,,
,,,,,,
County,,Total Votes Cast,REP,DEM,IND,
,,,MARY CZAJA,KEVIN KOTH,PATRICK K. TJUGUM,SCATTERING
LANGLADE ,,8476.0,5078.0,3173.0,221.0,4.0
LINCOLN ,,14759.0,7235.0,6712.0,802.0,10.0
MARATHON ,,1781.0,1114.0,603.0,61.0,3.0
ONEIDA ,,2139.0,1014.0,867.0,257.0,1.0
SHAWANO ,,1890.0,1040.0,794.0,56.0,0.0
Office Totals:,,29045.0,15481.0,12149.0,1397.0,18.0
