a,"G.A.B. Canvass Reporting System
County by County Report",c,d,e,f,g,h
,2012 PRESIDENTIAL AND GENERAL ELECTION,,,,,,
,,,,,,,
ASSEMBLY - DISTRICT 50,,,,,,,
,,,,,,,
County,,Total Votes Cast,IND,REP,DEM,IND,
,,,NATHAN JOHNSON (WRITE-IN),ED BROOKS,SARAH ANN SHANAHAN,"BEN OLSON, III",SCATTERING
JUNEAU ,,11235.0,2.0,5240.0,5640.0,350.0,3.0
MONROE ,,708.0,0.0,371.0,314.0,23.0,0.0
RICHLAND ,,4244.0,0.0,2187.0,1990.0,66.0,1.0
SAUK ,,9158.0,9.0,4943.0,3921.0,279.0,6.0
VERNON ,,188.0,0.0,101.0,80.0,7.0,0.0
Office Totals:,,25533.0,11.0,12842.0,11945.0,725.0,10.0
