year	seat	category	R_win	D_win	R_votes	D_votes
1994	US_house_district_1	US_house	1	0	83937	82817
1994	US_house_district_2	US_house	1	0	133734	55406
1994	US_house_district_3	US_house	1	0	89338	65758
1994	US_house_district_4	US_house	0	1	78225	93789	
1994	US_house_district_5	US_house	0	1	51145	87806
1994	US_house_district_6	US_house	1	0	119384	0
1994	US_house_district_7	US_house	0	1	81706	97184
1994	US_house_district_8	US_house	1	0	114319	65065
1994	US_house_district_9	US_house	1	0	141617	0
1994	state_assembly_district_1	state_assembly	1	0	10872	6769
1994	state_assembly_district_2	state_assembly	1	0	9872	7166
1994	state_assembly_district_3	state_assembly	1	0	9974	5070
1994	state_assembly_district_4	state_assembly	1	0	12870	0
1994	state_assembly_district_5	state_assembly	0	1	7414	8105
1994	state_assembly_district_6	state_assembly	1	0	10817	0
1994	state_assembly_district_7	state_assembly	0	1	0	9770
1994	state_assembly_district_8	state_assembly	0	1	1477	3960
1994	state_assembly_district_9	state_assembly	0	1	6559	9569
1994	state_assembly_district_10	state_assembly	0	1	0	6715
1994	state_assembly_district_11	state_assembly	0	1	0	7336
1994	state_assembly_district_12	state_assembly	0	1	0	9610
1994	state_assembly_district_13	state_assembly	0	1	7833	10079
1994	state_assembly_district_14	state_assembly	1	0	15487	0
1994	state_assembly_district_15	state_assembly	0	1	0	9439
1994	state_assembly_district_16	state_assembly	0	1	1080	3967
1994	state_assembly_district_17	state_assembly	0	1	0	7428
1994	state_assembly_district_18	state_assembly	0	1	603	3319
1994	state_assembly_district_19	state_assembly	0	1	4510	10006
1994	state_assembly_district_20	state_assembly	0	1	0	12015
1994	state_assembly_district_21	state_assembly	0	1	5098	10645
1994	state_assembly_district_22	state_assembly	0	1	10652	11140
1994	state_assembly_district_23	state_assembly	0	1	7231	10525
1994	state_assembly_district_24	state_assembly	1	0	15860	0
1994	state_assembly_district_25	state_assembly	0	1	0	11647
1994	state_assembly_district_26	state_assembly	0	1	0	12036
1994	state_assembly_district_27	state_assembly	1	0	10330	4957
1994	state_assembly_district_28	state_assembly	0	1	7245	8163
1994	state_assembly_district_29	state_assembly	0	1	5946	6739
1994	state_assembly_district_30	state_assembly	1	0	10413	4830
1994	state_assembly_district_31	state_assembly	1	0	10265	4557
1994	state_assembly_district_32	state_assembly	1	0	11763	0
1994	state_assembly_district_33	state_assembly	1	0	15018	0
1994	state_assembly_district_34	state_assembly	1	0	11899	9520
1994	state_assembly_district_35	state_assembly	1	0	11715	4653
1994	state_assembly_district_36	state_assembly	1	0	9818	7071
1994	state_assembly_district_37	state_assembly	1	0	8897	5480
1994	state_assembly_district_38	state_assembly	1	0	12715	0
1994	state_assembly_district_39	state_assembly	1	0	11123	0
1994	state_assembly_district_40	state_assembly	1	0	10146	0
1994	state_assembly_district_41	state_assembly	1	0	12106	0
1994	state_assembly_district_42	state_assembly	1	0	12449	0
1994	state_assembly_district_43	state_assembly	1	0	10876	0
1994	state_assembly_district_44	state_assembly	0	1	6263	10373
1994	state_assembly_district_45	state_assembly	0	1	4560	8415
1994	state_assembly_district_46	state_assembly	1	0	8806	8428
1994	state_assembly_district_47	state_assembly	1	0	10549	7706
1994	state_assembly_district_48	state_assembly	0	1	0	13670
1994	state_assembly_district_49	state_assembly	1	0	10429	0
1994	state_assembly_district_50	state_assembly	1	0	12284	0
1994	state_assembly_district_51	state_assembly	1	0	10655	3709
1994	state_assembly_district_52	state_assembly	1	0	9012	5386
1994	state_assembly_district_53	state_assembly	1	0	12217	0
1994	state_assembly_district_54	state_assembly	1	0	9712	0
1994	state_assembly_district_55	state_assembly	1	0	9955	4471
1994	state_assembly_district_56	state_assembly	1	0	12296	0
1994	state_assembly_district_57	state_assembly	1	0	12277	0
1994	state_assembly_district_58	state_assembly	1	0	14021	0
1994	state_assembly_district_59	state_assembly	1	0	13222	0
1994	state_assembly_district_60	state_assembly	1	0	14388	0
1994	state_assembly_district_61	state_assembly	0	1	0	7464
1994	state_assembly_district_62	state_assembly	0	1	6406	9504
1994	state_assembly_district_63	state_assembly	1	0	14724	0
1994	state_assembly_district_64	state_assembly	0	1	0	9622
1994	state_assembly_district_65	state_assembly	0	1	4741	10722
1994	state_assembly_district_66	state_assembly	1	0	12660	0
1994	state_assembly_district_67	state_assembly	0	1	5781	8795
