seat	category	R_win	D_win	R_votes	D_votes
US_house_district_1	US_house	0	1	116250	356976
US_house_district_2	US_house	0	1	251637	397724
US_house_district_3	US_house	0	1	204856	363008
US_house_district_4	US_house	0	1	212382	305142
US_house_district_5	US_house	0	1	129384	407291
US_house_district_6	US_house	0	1	107209	355995
US_house_district_7	US_house	0	1	0	281752
US_house_district_8	US_house	0	1	105513	353725
state_assembly_district_1	state_assembly	0	1	11890	30938
state_assembly_district_2	state_assembly	1	0	21989	0
state_assembly_district_3	state_assembly	0	1	11929	31835
state_assembly_district_4	state_assembly	0	1	10733	28093
state_assembly_district_5	state_assembly	0	1	15014	29277
state_assembly_district_6	state_assembly	1	0	20040	0
state_assembly_district_7	state_assembly	0	1	0	21307
state_assembly_district_8	state_assembly	0	1	0	8931
state_assembly_district_9	state_assembly	0	1	0	14967
state_assembly_district_10	state_assembly	0	1	0	23126
state_assembly_district_11	state_assembly	0	1	0	19749
state_assembly_district_12	state_assembly	0	1	0	20576
state_assembly_district_13	state_assembly	0	1	17765	31256
state_assembly_district_14	state_assembly	1	0	23097	0
state_assembly_district_15	state_assembly	0	1	0	19475
state_assembly_district_16	state_assembly	0	1	0	18562
state_assembly_district_17	state_assembly	0	1	0	22207
state_assembly_district_18	state_assembly	0	1	0	17244
state_assembly_district_19	state_assembly	0	1	0	24762
state_assembly_district_20	state_assembly	0	1	17285	28242
state_assembly_district_21	state_assembly	1	0	20830	0
state_assembly_district_22	state_assembly	0	1	21750	33278
state_assembly_district_23	state_assembly	1	0	19899	0
state_assembly_district_24	state_assembly	1	0	26283	0
state_assembly_district_25	state_assembly	0	1	0	20369
state_assembly_district_26	state_assembly	0	1	0	19930
state_assembly_district_27	state_assembly	1	0	24280	0
state_assembly_district_28	state_assembly	0	1	14096	30383
state_assembly_district_29	state_assembly	0	1	14577	31778
state_assembly_district_30	state_assembly	0	1	13081	33634
state_assembly_district_31	state_assembly	0	1	10041	31691
state_assembly_district_32	state_assembly	0	1	11859	26028
state_assembly_district_33	state_assembly	0	1	9426	33955
state_assembly_district_34	state_assembly	0	1	14037	32889
state_assembly_district_35	state_assembly	0	1	12173	28125
state_assembly_district_36	state_assembly	0	1	11202	26140
state_assembly_district_37	state_assembly	0	1	11677	29101
state_assembly_district_38	state_assembly	0	1	9474	30309
state_assembly_district_39	state_assembly	0	1	8334	27338
state_assembly_district_40	state_assembly	0	1	8166	26515
state_assembly_district_41	state_assembly	1	0	22492	0
state_assembly_district_42	state_assembly	0	1	12893	27119
state_assembly_district_43	state_assembly	0	1	12796	28818
state_assembly_district_44	state_assembly	0	1	16053	26636
state_assembly_district_45	state_assembly	0	1	15494	26572
state_assembly_district_46	state_assembly	0	1	18950	32442
state_assembly_district_47	state_assembly	0	1	14287	31086
state_assembly_district_48	state_assembly	0	1	25066	33534
state_assembly_district_49	state_assembly	0	1	11723	26735
state_assembly_district_50	state_assembly	0	1	7502	27112
state_assembly_district_51	state_assembly	0	1	12203	28596
state_assembly_district_52	state_assembly	0	1	8775	26184
state_assembly_district_53	state_assembly	0	1	12041	27826
state_assembly_district_54	state_assembly	0	1	12028	29922
state_assembly_district_55	state_assembly	1	0	20003	0
state_assembly_district_56	state_assembly	1	0	25064	0
state_assembly_district_57	state_assembly	1	0	19592	0
state_assembly_district_58	state_assembly	0	1	9357	30803
state_assembly_district_59	state_assembly	1	0	25617	0
state_assembly_district_60	state_assembly	1	0	24398	0
state_assembly_district_61	state_assembly	0	1	0	19189
state_assembly_district_62	state_assembly	0	1	0	21533
state_assembly_district_63	state_assembly	1	0	23831	0
state_assembly_district_64	state_assembly	0	1	0	16347
state_assembly_district_65	state_assembly	0	1	0	18701
state_assembly_district_66	state_assembly	0	1	9390	27265
state_assembly_district_67	state_assembly	0	1	11983	28954
state_assembly_district_68	state_assembly	0	1	14094	30810
state_assembly_district_69	state_assembly	1	0	19759	0
state_assembly_district_70	state_assembly	0	1	18120	28747
state_assembly_district_71	state_assembly	0	1	0	21998
state_assembly_district_72	state_assembly	0	1	17076	28120
state_assembly_district_73	state_assembly	0	1	19860	31203
state_assembly_district_74	state_assembly	0	1	16213	30509
state_assembly_district_75	state_assembly	0	1	17096	28810
state_assembly_district_76	state_assembly	0	1	0	27462
state_assembly_district_77	state_assembly	0	1	0	26560
state_assembly_district_78	state_assembly	0	1	25674	30856
state_assembly_district_79	state_assembly	0	1	21999	36748
state_assembly_district_80	state_assembly	0	1	13992	29760
state_assembly_district_81	state_assembly	0	1	0	25076
state_assembly_district_82	state_assembly	1	0	22691	0
state_assembly_district_83	state_assembly	1	0	26055	0
state_assembly_district_84	state_assembly	1	0	25504	0
state_assembly_district_85	state_assembly	0	1	15666	27345
state_assembly_district_86	state_assembly	0	1	10015	30070
state_assembly_district_87	state_assembly	0	1	12345	27001
state_assembly_district_88	state_assembly	0	1	11093	24290
state_assembly_district_89	state_assembly	0	1	10318	28546
state_assembly_district_90	state_assembly	0	1	12944	27259
state_assembly_district_91	state_assembly	0	1	18281	28180
state_assembly_district_92	state_assembly	0	1	10955	25856
state_assembly_district_93	state_assembly	0	1	15501	32543
state_assembly_district_94	state_assembly	0	1	13079	31169
state_assembly_district_95	state_assembly	0	1	0	23204
state_assembly_district_96	state_assembly	0	1	11923	26126
state_assembly_district_97	state_assembly	1	0	20221	0
state_assembly_district_98	state_assembly	1	0	27878	0
state_assembly_district_99	state_assembly	1	0	26399	0
state_senate_district_2	state_senate	1	0	67929	0
state_senate_district_4	state_senate	0	1	0	63223
state_senate_district_6	state_senate	0	1	0	59972
state_senate_district_8	state_senate	0	1	42048	97879
state_senate_district_10	state_senate	0	1	39001	95760
state_senate_district_12	state_senate	0	1	47287	88444
state_senate_district_14	state_senate	1	0	57926	0
state_senate_district_16	state_senate	0	1	58147	96841
state_senate_district_18	state_senate	1	0	64608	0
state_senate_district_20	state_senate	1	0	76073	0
state_senate_district_22	state_senate	0	1	42097	80779
state_senate_district_24	state_senate	0	1	58259	86220
state_senate_district_26	state_senate	0	1	0	88777
state_senate_district_28	state_senate	1	0	74443	0
state_senate_district_30	state_senate	0	1	44225	81072
state_senate_district_32	state_senate	0	1	41928	88483
