seat	category	R_win	D_win	R_votes	D_votes
CONGRESSIONAL - DISTRICT 1	US_house	1	0	182316	105552
CONGRESSIONAL - DISTRICT 2	US_house	0	1	103619	224920
CONGRESSIONAL - DISTRICT 3	US_house	0	1	119540	155368
CONGRESSIONAL - DISTRICT 4	US_house	0	1	68490	179045
CONGRESSIONAL - DISTRICT 5	US_house	1	0	231160	101190
CONGRESSIONAL - DISTRICT 6	US_house	1	0	169767	122212
CONGRESSIONAL - DISTRICT 7	US_house	0	1	5	112949
CONGRESSIONAL - DISTRICT 8	US_house	1	0	188553	101345
STATE SENATE - DISTRICT 1	state_senate	1	0	47438	29555
STATE SENATE - DISTRICT 3	state_senate	0	1	0	29291
STATE SENATE - DISTRICT 5	state_senate	1	0	55869	0
STATE SENATE - DISTRICT 7	state_senate	0	1	28387	41950
STATE SENATE - DISTRICT 9	state_senate	1	0	43186	28770
STATE SENATE - DISTRICT 11	state_senate	1	0	43842	25377
STATE SENATE - DISTRICT 13	state_senate	1	0	48255	28700
STATE SENATE - DISTRICT 15	state_senate	0	1	24760	36389
STATE SENATE - DISTRICT 17	state_senate	1	0	34601	28179
STATE SENATE - DISTRICT 19	state_senate	1	0	41628	31135
STATE SENATE - DISTRICT 21	state_senate	1	0	44967	28106
STATE SENATE - DISTRICT 23	state_senate	1	0	39577	25135
STATE SENATE - DISTRICT 25	state_senate	0	1	33445	35055
STATE SENATE - DISTRICT 27	state_senate	0	1	0	61920
STATE SENATE - DISTRICT 29	state_senate	1	0	45887	23917
STATE SENATE - DISTRICT 31	state_senate	0	1	32317	35508
STATE SENATE - DISTRICT 33	state_senate	1	0	59199	20899
ASSEMBLY - DISTRICT 1	state_assembly	1	0	16072	12256
ASSEMBLY - DISTRICT 2	state_assembly	1	0	18994	0
ASSEMBLY - DISTRICT 3	state_assembly	1	0	19542	0
ASSEMBLY - DISTRICT 4	state_assembly	1	0	14467	10026
ASSEMBLY - DISTRICT 5	state_assembly	1	0	15045	9084
ASSEMBLY - DISTRICT 6	state_assembly	1	0	18696	0
ASSEMBLY - DISTRICT 7	state_assembly	0	1	8800	11065
ASSEMBLY - DISTRICT 8	state_assembly	0	1	1271	5155
ASSEMBLY - DISTRICT 9	state_assembly	0	1	0	8507
ASSEMBLY - DISTRICT 10	state_assembly	0	1	0	20242
ASSEMBLY - DISTRICT 11	state_assembly	0	1	0	17328
ASSEMBLY - DISTRICT 12	state_assembly	0	1	3	16494
ASSEMBLY - DISTRICT 13	state_assembly	1	0	20710	0
ASSEMBLY - DISTRICT 14	state_assembly	1	0	21954	0
ASSEMBLY - DISTRICT 15	state_assembly	1	0	15427	9057
ASSEMBLY - DISTRICT 16	state_assembly	0	1	0	16183
ASSEMBLY - DISTRICT 17	state_assembly	0	1	0	19666
ASSEMBLY - DISTRICT 18	state_assembly	0	1	0	16522
ASSEMBLY - DISTRICT 19	state_assembly	0	1	0	18077
